,amount0In,amount0Out,amount1In,amount1Out,id,pair,timestamp,transaction,side
0,30,0,0,0.268823923477353514,0x85ca92806c6e2f57155e97958ba32719ef3aab5b43c9b68e8517e07c7fa5531b-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624418149,{'blockNumber': '12687998'},Sell
1,0,5.546372447248362489,0.05,0,0x6d575967d503eefc006d9f4d5970cefa2b928c1c60b87d3f2b2055182822305c-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624418121,{'blockNumber': '12687992'},Buy
2,759.80774558075333476,0,0,6.810805649197774231,0x488a1e8991a6ce9fe44d4b4f03c7344b9694a2780c116e71d96619bd10116fb3-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417990,{'blockNumber': '12687984'},Sell
3,30,0,0,0.269008395900146478,0x0ed954084519718e40d0571c2d5e33c373ed101088167e2d17e5fba125887b40-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417738,{'blockNumber': '12687965'},Sell
4,30,0,0,0.269015456362153913,0xdac977d26867b4135a1387990bb6e24da82f0487c1b92c9044f6f6005b9a77a8-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417725,{'blockNumber': '12687962'},Sell
5,30,0,0,0.269022517102270187,0xbad4d90a2de6d9940bd9aa19afe220f54082cf1874a7029bd664633e1f6f6e22-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417376,{'blockNumber': '12687944'},Sell
6,953.718082891309857036,0,0,8.556597617490623601,0xd85760b29815711825b5e9a4d4664877b7e496a1e5dc0e2d794765d40cb99218-1,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417320,{'blockNumber': '12687937'},Sell
7,69.801493067592091882,0,0,0.625966456224350257,0x89a23e9fd34c61da73facca3d0270bd10ba00c19dbc9f2684a0612392c56f3b3-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417320,{'blockNumber': '12687937'},Sell
8,655.872194892654116946,0,0,5.888519709829692735,0x98bda78f303e1ce73f538646c36c3bfadd2087d40d58233736f7c487873b5164-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417303,{'blockNumber': '12687936'},Sell
9,30,0,0,0.269425296102096431,0x5abb502ca73cea386ddf1c278afaea4e21682151bc5c02bed593305e8a0690ee-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417303,{'blockNumber': '12687936'},Sell
10,359.481471843985252388,0,0,3.228997981819416013,0xf5fc658eda55453861b123c50712831daa31a59a98d99b6cd8d2ca6a7ccd0c4a-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417105,{'blockNumber': '12687917'},Sell
11,134.755713433416755978,0,0,1.210688344003104576,0x8928da70c11b15c19f25a3a510cd27662b007e1145262944b9087e12dc00e22a-1,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417105,{'blockNumber': '12687917'},Sell
12,0,1580.346366174197119584,14.274830170177168324,0,0xa23b842bb534fccad910e1bdff1d091adb78f6ab7da45db4c8662ea0f7af56b4-1,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417098,{'blockNumber': '12687916'},Buy
13,4.836915903852080206,0,0,0.043398785037451507,0x088c2f0ab7c4fc68f9005b73b10acfdde1792aafe35dcee09e319c147b28cfa3-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417080,{'blockNumber': '12687912'},Sell
14,34.83136244676712325,0,0,0.312526640892433837,0x23cef6f01654bd3eb9211e4d52871ba2bdc6be144582a0daceb1f6aebe7bde4a-1,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624416882,{'blockNumber': '12687901'},Sell
15,103.537780296122965155,0,0,0.929055688114253028,0x13eb7fb64fc29025f84b0eaee922224ecd1f6f44a11d6ef54d15360aa1460acb-1,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624416654,{'blockNumber': '12687887'},Sell
16,1.661826517600499051,0,0,0.014912434328910691,0x4d0c57bd1dc00eacb794289b6a61ec945d4f12971b4f31095bb2147985117690-1,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624416549,{'blockNumber': '12687879'},Sell
17,66.487884931897334089,0,0,0.596648215238852309,0xeecc9a56375a6dbc06e3a1430cef24c98bbcdf0af5548bf3ba2d5bdc07baec5e-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624416212,{'blockNumber': '12687843'},Sell
18,24.799482563418703148,0,0,0.222554193900247635,0x92500f2fa841a64d6ebf1e3da7486eb131a8feb97eda3c696edd496dfde609b8-3,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624416082,{'blockNumber': '12687832'},Sell
19,60.866821339964428716,0,0,0.546248270532517958,0x7efe12c87809fe9431c5dea29f592a9fa6fffe096846d698b1a8ebda8cccc1aa-4,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624416056,{'blockNumber': '12687828'},Sell
20,0,873.248083822170450161,7.881369005334172164,0,0xe0d9284492a5b0d153e8b0fb7f02b5e2b12c345f155ad5066bb542c29d79c7ca-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624416021,{'blockNumber': '12687826'},Buy
21,0,425.146741509584196891,3.834913660875669952,0,0x3f2f212d5a17c8017ccbf93f6248e7e2d1825d253ef899b5ba53a502b0ab292b-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624415967,{'blockNumber': '12687823'},Buy
22,0,6626.102981709202283976,59.591917518825419857,0,0xf566b3e0f978e09afe015d4b3165488bb277e744737fa9d6e8e26ce646c13c73-1,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624415846,{'blockNumber': '12687813'},Buy
23,146.690938392645831327,0,0,1.31509572775858538,0xaa1d7993226972b3985b381ef6c030f7ae6f55f24c3996015760624b700ec8c6-2,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624415846,{'blockNumber': '12687813'},Sell
24,0,901.325894172760766477,8.07943452010671104,0,0x67fcbc3bfae30cbe0742f0bb995969d5bb5e57ebe55e421cbcf4dfbe9084ebae-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624415742,{'blockNumber': '12687808'},Buy
25,24.828341820284258503,0,0,0.221141847131747521,0x42820b6cf98a71ef488c302309384174391b97e4b3c37d89c79fdf7e391781cc-1,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624415570,{'blockNumber': '12687796'},Sell
26,0,5.579990657476788228,0.05,0,0x7ba91a3da2e8df94ce59ffdc3ce00406e9e555d9f031e986c8d7f3c4a65c1350-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624415564,{'blockNumber': '12687794'},Buy
27,15.335967005860205938,0,0,0.136596592102311222,0xdf797e0759afcca263ba0b0306a0e450beb1989fb55dfca3932d12e73e2ba427-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624415523,{'blockNumber': '12687788'},Sell
28,0,1434.734820331891714885,12.84813696963308139,0,0x237b6d700b7c3bca4f028bce94f3a7f07590e2ebb32772b05e1482f777c6077b-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624415457,{'blockNumber': '12687781'},Buy
29,0,1887.180647942391998055,16.875301147987421587,0,0x2753ee952283f0e8d142abe8a9cc97aa8f40dbc74133e09875eab72f3d7ccc5a-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624415015,{'blockNumber': '12687752'},Buy
30,1.310732377743505873,0,0,0.011640863769022046,0x52f30f98d5fa2f0aed27f91c62d563df439646c748b0d6e0f3a2778f49aaf8ea-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624414989,{'blockNumber': '12687751'},Sell
31,0,785.216999999999967232,7.013288723996937287,0,0x322f49be265aa7850fa224db68daa17ea99fc810950fb6c912c2ea7c651134eb-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624414701,{'blockNumber': '12687731'},Buy
32,0,771.444537140224363954,6.885598163164954506,0,0xa54643399690e1e9f6c6e28c3c314287a86ca37602c28f1cc6c8d811844f6f6e-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624414645,{'blockNumber': '12687727'},Buy
33,85.53161154480147895,0,0,0.758619739474698747,0xdb34ee4d1176a3bd0ba46c13a7150d9e185d702c91cde04040f201d9646e67ef-1,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624414373,{'blockNumber': '12687706'},Sell
34,0,5573.745348104164503672,49.615108810904202033,0,0xa6f5b54f5f7920c460d1d24949d9a0a2769602c7dd39d251d5a396a043a0ec45-1,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624414321,{'blockNumber': '12687702'},Buy
35,0,1137.254354464048751364,10.093827427553892698,0,0x5f9f6865194aa1bb4355cde2398a67cf410dc975537a2c4fc032abe87c69e065-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624414234,{'blockNumber': '12687692'},Buy
36,160.325638222379673817,0,0,1.413862600336789824,0x12696bef8adaa889c92df1dc7bfb996886501d3535982e776e801d426bade659-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624413984,{'blockNumber': '12687674'},Sell
37,0,27.847723653090357149,0.247074826995367936,0,0x02effd8c106567a20fe71c929e3e6ec4c205b836f2600e43f9f056a775a6b0e7-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624413969,{'blockNumber': '12687673'},Buy
38,2,0,0,0.01763819887357506,0xd309b4a5030a8c6e73da1f93713365e4f7a574502e7f571c791bb19945d02f4d-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624413954,{'blockNumber': '12687671'},Sell
39,0,1685.271792727948463859,14.941199256691473904,0,0xf6b7294929b052f55aee43c09efb2530464e4a1ade5e3d75e3b4b7f39f379ff7-1,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624413628,{'blockNumber': '12687651'},Buy
40,0,1397.691113952159034906,12.374984288508533714,0,0x3197781e23eb4061782d2db8b648db165185baa5128807c89aa6659b851fa6fd-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624413562,{'blockNumber': '12687647'},Buy
41,0,18.385825968155168477,0.162685819209908224,0,0xd1cf16e00a49e1ccfabe4aad016b4c29bffd8273ebe8b7f9029f293582315d92-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624413401,{'blockNumber': '12687634'},Buy
42,0,4.593088732720273971,0.04064125,0,0xb1cb01a30a4ee06e0a71f4b66773763a09d4120b87e3da24255232cd3e8939db-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624412253,{'blockNumber': '12687561'},Buy
43,355.457660002935255481,0,0,3.12683371940107395,0x1ef3af4537eb63e84829b9766a2a1743d78cff49495bf6c4889db7b7b5cbee97-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624412157,{'blockNumber': '12687552'},Sell
44,49.897693490830784,0,0,0.439010888432078682,0xa5ce68177ea90c6b42691442de9fb5ee82d142d5d601d6f38d9d44d26efefe8b-4,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624412143,{'blockNumber': '12687550'},Sell
45,1669.047213728587697098,0,0,14.695603821106606443,0xa5fb0953e68f61786222623e47e1f509bcd8d5cce6de56575cb6758fda9e1ad6-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624412006,{'blockNumber': '12687537'},Sell
46,996.445231892728951567,0,0,8.783626525888814373,0x26c8f00cf71bc3a1dc8cf9afc12a01368ccdd75fca684836484a2ef2fb78a4d5-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624411921,{'blockNumber': '12687532'},Sell
47,1.14335618130526461,0,0,0.010082995295737181,0x099f7a374d9bb53b0574e9cc577772b4fcfde3b346b7baa578bf2a486d88d6ad-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624411619,{'blockNumber': '12687505'},Sell
48,125,0,0,1.102406666130342348,0x24fbd07bfb97baf73fb3fc612f098b4a84dbed7ba20b58ed4c43a76ed9b26c60-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624411164,{'blockNumber': '12687467'},Sell
